"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","28.31","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","29.16","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","31.01","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","31.81","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","33.02","","","","2"
"2023","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Total employees, all occupations [00-95]","Females","25 to 54 years","Current dollars","75","units","0","v1481406207","1.2.2.1.3.3","34.67","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","42.82","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","43.66","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","46.50","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","48.60","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","50.18","","","","2"
"2023","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Females","25 to 54 years","Current dollars","75","units","0","v1481406219","1.2.2.2.3.3","53.00","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Legislative and senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1481406231","1.2.2.3.3.3","64.12","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Full-time employees","Legislative and senior management occupations [00]","Females","25 to 54 years","Current dollars","75","units","0","v1481406231","1.2.2.3.3.3","63.12","","","","2"
