REF_DATE	GEO	DGUID	Wages	Type of work	National Occupational Classification (NOC)	Sex	Age group	UOM	UOM_ID	SCALAR_FACTOR	SCALAR_ID	VECTOR	COORDINATE	VALUE	STATUS	SYMBOL	TERMINATED	DECIMALS
2018	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	32.32				2
2019	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	33.13				2
2020	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	34.78				2
2021	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	35.66				2
2022	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	37.38				2
2023	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Total employees, all occupations [00-95]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406203	1.2.2.1.2.3	39.28				2
2018	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	49.42				2
2019	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	49.07				2
2020	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	52.13				2
2021	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	53.67				2
2022	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	56.37				2
2023	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406215	1.2.2.2.2.3	59.93				2
2018	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	73.64				2
2019	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	74.07				2
2020	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	78.96				2
2021	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	79.35				2
2022	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	87.53				2
2023	Canada	2016A000011124	Average hourly wage rate	Full-time employees	Legislative and senior management occupations [00]	Males	25 to 54 years	Current dollars	75	units	0	v1481406227	1.2.2.3.2.3	93.35				2
2018	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Specialized middle management occupations [10, 20, 30, 40, 50]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406239	1.2.2.4.2.3	53.85				2
2019	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Specialized middle management occupations [10, 20, 30, 40, 50]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406239	1.2.2.4.2.3	53.21				2
2020	Canada	2016A000011124	Average hourly wage rate	Full-time employees	"Specialized middle management occupations [10, 20, 30, 40, 50]"	Males	25 to 54 years	Current dollars	75	units	0	v1481406239	1.2.2.4.2.3	56.23				2
