"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","345.99","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","354.61","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","373.42","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","377.97","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","389.14","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Total employees, all occupations [00-95]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409029","1.3.3.1.1.1","404.60","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409041","1.3.3.2.1.1","686.96","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409041","1.3.3.2.1.1","658.44","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409041","1.3.3.2.1.1","708.18","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409041","1.3.3.2.1.1","717.38","","","","2"
