REF_DATE,GEO,DGUID,Wages,Type of work,National Occupational Classification (NOC),Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,15901.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,16292.7,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,15308.1,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,16291.4,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,17042.3,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,17518.4,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,984.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1024.7,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1005.6,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1040.8,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1220.1,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1360.6,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,53.2,,,,1
